track_name,artist_name,total_streams,daily_streams,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
good 4 u,Olivia Rodrigo,2297497513.0,814911.0,pop,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,9.0
That's What I Like,Bruno Mars,2296532581.0,2854454.0,dance pop,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,206693.0,1.0
In the End,Linkin Park,2296311637.0,2289070.0,alternative metal,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,3.0
Let Me Love You,DJ Snake,2295910333.0,1036537.0,edm,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947.0,8.0
SAD!,XXXTENTACION,2294402081.0,561201.0,emo rap,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166606.0,8.0
Unforgettable,French Montana,2288895634.0,1176409.0,hip hop,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902.0,6.0
Jocelyn Flores,XXXTENTACION,2278538371.0,648481.0,emo rap,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133.0,0.0
Happier,Marshmello,2268196983.0,878022.0,brostep,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,214290.0,5.0
Sorry,Justin Bieber,2242363567.0,1070769.0,canadian pop,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,200787.0,0.0
Lean On,Major Lazer,2219535850.0,784857.0,dance pop,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561.0,7.0
Smells Like Teen Spirit,Nirvana,2192770639.0,1115607.0,grunge,0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920.0,1.0
Levitating,Dua Lipa,2190634457.0,855918.0,dance pop,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064.0,6.0
Without Me,Halsey,2132300279.0,660979.0,electropop,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,6.0
Take on Me,a-ha,2129502609.0,1059201.0,new romantic,0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280.0,6.0
Memories,Maroon 5,2125455824.0,999140.0,pop,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,189486.0,11.0
Faded,Alan Walker,2057499357.0,744050.0,electro house,0.468,0.627,6.0,-5.085,1.0,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107.0,6.0
Sweet Child O' Mine,Guns N' Roses,2049983026.0,1053623.0,glam metal,0.446,0.952,6.0,-5.321,1.0,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067.0,6.0
Before You Go,Lewis Capaldi,2048830049.0,833219.0,pop,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,3.0
7 Years,Lukas Graham,2043431257.0,713484.0,danish pop,0.765,0.473,10.0,-5.829,1.0,0.0514,0.287,0.0,0.391,0.34,119.992,237300.0,10.0
The Box,Roddy Ricch,2041451856.0,695552.0,melodic rap,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653.0,10.0
Stitches,Shawn Mendes,2035388657.0,914567.0,canadian pop,0.752,0.754,1.0,-6.684,1.0,0.0615,0.0151,0.0,0.0486,0.755,149.789,206880.0,1.0
Moonlight,XXXTENTACION,1990952647.0,844576.0,emo rap,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090.0,9.0
I'm Yours,Jason Mraz,1988304153.0,672959.0,acoustic pop,0.698,0.45,11.0,-8.784,1.0,0.0442,0.571,0.0,0.113,0.68,150.999,242040.0,11.0
when the party's over,Billie Eilish,1984602068.0,1225924.0,art pop,0.367,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077.0,4.0
The Real Slim Shady,Eminem,1975648152.0,1239563.0,detroit hip hop,0.949,0.661,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,5.0
Pumped Up Kicks,Foster The People,1972492582.0,1106491.0,indietronica,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600.0,5.0
Numb,Linkin Park,1964999995.0,1999964.0,alternative metal,0.496,0.863,9.0,-4.153,1.0,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,9.0
Radioactive,Imagine Dragons,1964963268.0,749897.0,modern rock,0.448,0.784,9.0,-3.686,1.0,0.0627,0.106,0.000108,0.668,0.236,136.245,186813.0,9.0
Billie Jean,Michael Jackson,1947519787.0,1251649.0,r&b,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0153,0.036,0.847,117.046,293827.0,11.0
Sugar,Maroon 5,1940891276.0,679788.0,pop,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493.0,1.0
Africa,TOTO,1939452016.0,1023146.0,album rock,0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893.0,9.0
Call Out My Name,The Weeknd,1933825036.0,927326.0,canadian contemporary r&b,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,228373.0,1.0
The Nights,Avicii,1930949428.0,846598.0,edm,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,176658.0,6.0
Attention,Charlie Puth,1906677878.0,646686.0,pop,0.775,0.613,3.0,-4.586,0.0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787.0,3.0
Heathens,Twenty One Pilots,1897553961.0,939487.0,modern rock,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0,4.0
This Is What You Came For,Calvin Harris,1884656034.0,583798.0,dance pop,0.631,0.927,9.0,-2.787,0.0,0.0332,0.199,0.119,0.148,0.465,123.962,222160.0,9.0
Gangsta's Paradise,Coolio,1882517170.0,1381441.0,g funk,0.647,0.514,8.0,-10.05,1.0,0.0593,0.0655,0.0,0.398,0.386,79.975,240693.0,8.0
Youngblood,5 Seconds of Summer,1874330828.0,595889.0,boy band,0.596,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,203418.0,7.0
I Like Me Better,Lauv,1870955501.0,877828.0,pop,0.753,0.505,9.0,-7.621,1.0,0.255,0.534,2.58e-06,0.104,0.419,91.972,197437.0,9.0
Maps,Maroon 5,1862585405.0,1279597.0,pop,0.742,0.713,1.0,-5.522,0.0,0.0303,0.0205,0.0,0.059,0.879,120.032,189960.0,1.0
Ride,Twenty One Pilots,1853634484.0,578633.0,modern rock,0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.566,74.989,214507.0,6.0
Night Changes,One Direction,1849705278.0,2728422.0,boy band,0.672,0.52,8.0,-7.747,1.0,0.0353,0.859,0.0,0.115,0.37,120.001,226600.0,8.0
Be Alright,Dean Lewis,1846789884.0,742343.0,australian pop,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,196373.0,11.0
I Feel It Coming,The Weeknd,1844013038.0,596635.0,canadian contemporary r&b,0.773,0.82,0.0,-5.897,0.0,0.115,0.394,0.0,0.0739,0.555,92.996,269187.0,0.0
Bad Habits,Ed Sheeran,1839143174.0,496739.0,pop,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747.0,11.0
Heather,Conan Gray,1829750753.0,1176453.0,bedroom pop,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,198040.0,5.0
I Ain't Worried,OneRepublic,1806545323.0,1103499.0,piano rock,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486.0,0.0
September,"Earth, Wind & Fire",1802927059.0,1056775.0,disco,0.674,0.832,9.0,-7.892,1.0,0.0308,0.146,5.06e-06,0.138,0.981,125.996,216022.0,9.0
The Less I Know The Better,Tame Impala,1800776636.0,912158.0,australian psych,0.64,0.74,4.0,-4.083,1.0,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320.0,4.0
Have You Ever Seen The Rain,Creedence Clearwater Revival,1799598589.0,1065463.0,classic rock,0.741,0.697,0.0,-7.028,1.0,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133.0,0.0
Danza Kuduro,Don Omar,1796266238.0,1193073.0,latin hip hop,0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,198773.0,0.0
Sweet but Psycho,Ava Max,1768839937.0,580311.0,pop,0.72,0.706,1.0,-4.719,1.0,0.0473,0.0684,0.0,0.166,0.62,133.002,187436.0,1.0
Ghost,Justin Bieber,1764998479.0,1150339.0,canadian pop,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0,2.0
Highway to Hell,AC/DC,1763315873.0,1269827.0,australian rock,0.574,0.913,6.0,-4.793,0.0,0.133,0.061,0.00158,0.156,0.423,115.728,208400.0,6.0
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,1758573041.0,713238.0,pop,0.731,0.445,0.0,-8.418,1.0,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,247160.0,0.0
deja vu,Olivia Rodrigo,1757783340.0,1039820.0,pop,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507.0,2.0
Dandelions,Ruth B.,1753659615.0,1279365.0,alt z,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720.0,1.0
Beggin',Måneskin,1743896381.0,881078.0,indie rock italiano,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,211560.0,11.0
Woman,Doja Cat,1741943019.0,980695.0,dance pop,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627.0,5.0
death bed (coffee for your head),Powfu,1738422196.0,554959.0,sad lo-fi,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333.0,8.0
Mask Off,Future,1720655998.0,857793.0,atl hip hop,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,204600.0,2.0
Redbone,Childish Gambino,1702876723.0,578016.0,atl hip hop,0.745,0.353,1.0,-10.614,1.0,0.0983,0.174,0.00662,0.118,0.598,160.111,326933.0,1.0
Back In Black,AC/DC,1702334582.0,973707.0,australian rock,0.31,0.7,9.0,-5.678,1.0,0.047,0.011,0.00965,0.0828,0.763,188.386,255493.0,9.0
Everybody Dies In Their Nightmares,XXXTENTACION,1698715784.0,827022.0,emo rap,0.734,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467.0,7.0
What Do You Mean?,Justin Bieber,1691441369.0,718799.0,canadian pop,0.845,0.567,5.0,-8.118,0.0,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680.0,5.0
I Fall Apart,Post Malone,1684074644.0,308212.0,dfw rap,0.556,0.538,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347.0,8.0
Thunderstruck,AC/DC,1661985080.0,871825.0,australian rock,0.502,0.89,4.0,-5.175,1.0,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880.0,4.0
Rude,MAGIC!,1639736106.0,1114813.0,pop,0.773,0.758,1.0,-4.993,1.0,0.0381,0.0422,0.0,0.305,0.925,144.033,224840.0,1.0
Young Dumb & Broke,Khalid,1626250746.0,655735.0,pop,0.799,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547.0,1.0
Cold Water,Major Lazer,1612036233.0,499050.0,dance pop,0.608,0.798,6.0,-5.092,0.0,0.0432,0.0736,0.0,0.156,0.501,92.943,185360.0,6.0
Daddy Issues,The Neighbourhood,1610701731.0,1237697.0,modern alternative rock,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012,260173.0,10.0
I Want It That Way,Backstreet Boys,1598101223.0,951174.0,boy band,0.689,0.694,6.0,-5.83,0.0,0.027,0.257,0.0,0.148,0.482,99.039,213307.0,6.0
One Last Time,Ariana Grande,1596342454.0,931105.0,pop,0.628,0.593,8.0,-5.036,1.0,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267.0,8.0
Hope,XXXTENTACION,1573482808.0,979754.0,emo rap,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886.0,9.0
you broke me first,Tate McRae,1567878603.0,1031330.0,alt z,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,169266.0,4.0
Dark Horse,Katy Perry,1565333452.0,829342.0,pop,0.647,0.585,6.0,-6.123,1.0,0.0512,0.00314,0.0,0.165,0.353,131.934,215672.0,6.0
The Middle,Zedd,1560682357.0,371612.0,complextro,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,7.0
Old Town Road,Lil Nas X,1559879068.0,199839.0,lgbtq+ hip hop,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,6.0
Revenge,XXXTENTACION,1556021707.0,1306134.0,emo rap,0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999,120027.0,11.0
Apocalypse,Cigarettes After Sex,1554002936.0,1968385.0,ambient pop,0.369,0.467,5.0,-9.018,1.0,0.0274,0.0194,0.46,0.109,0.174,94.473,290147.0,5.0
Fortunate Son,Creedence Clearwater Revival,1536106159.0,941739.0,classic rock,0.64,0.663,0.0,-7.516,1.0,0.0374,0.201,0.00806,0.152,0.663,132.77,140773.0,0.0
In the Name of Love,Martin Garrix,1521015273.0,402933.0,dutch edm,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,195707.0,4.0
positions,Ariana Grande,1511342856.0,555490.0,pop,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,172325.0,0.0
ROXANNE,Arizona Zervas,1511209856.0,261194.0,pop rap,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,6.0
Dark Red,Steve Lacy,1506182845.0,1329662.0,afrofuturism,0.603,0.784,6.0,-4.023,1.0,0.062,0.446,8.32e-06,0.119,0.769,172.041,173104.0,6.0
Chop Suey!,System Of A Down,1498638343.0,928957.0,alternative metal,0.417,0.934,7.0,-3.908,0.0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240.0,7.0
Stronger,Kanye West,1486173243.0,590462.0,chicago rap,0.617,0.717,10.0,-7.858,0.0,0.153,0.00564,0.0,0.408,0.49,103.992,311867.0,10.0
Waiting For Love,Avicii,1481114939.0,534316.0,edm,0.579,0.736,6.0,-3.863,0.0,0.0527,0.31,0.0,0.198,0.613,127.999,230613.0,6.0
cardigan,Taylor Swift,1477962168.0,1072316.0,pop,0.613,0.581,0.0,-8.588,0.0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560.0,0.0
LOVE. FEAT. ZACARI.,Kendrick Lamar,1455790280.0,675827.0,conscious hip hop,0.8,0.585,10.0,-7.343,1.0,0.0924,0.264,0.0,0.153,0.779,126.058,213400.0,10.0
Poker Face,Lady Gaga,1452329760.0,1067618.0,art pop,0.851,0.806,4.0,-4.62,1.0,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200.0,4.0
Classic,MKTO,1448932236.0,682636.0,pop,0.72,0.791,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.756,102.071,175427.0,1.0
Better,Khalid,1446432974.0,681405.0,pop,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,0.0
Young And Beautiful,Lana Del Rey,1441066845.0,1082928.0,art pop,0.324,0.416,11.0,-8.92,0.0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053.0,11.0
Mercy,Shawn Mendes,1424443961.0,527844.0,canadian pop,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.356,148.128,208733.0,11.0
Come As You Are,Nirvana,1423520537.0,962412.0,grunge,0.5,0.824,4.0,-5.846,0.0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920.0,4.0
Under The Influence,Chris Brown,1420911312.0,1150822.0,r&b,0.733,0.69,9.0,-5.529,0.0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613.0,9.0
More Than You Know,Axwell /\ Ingrosso,1418981052.0,426285.0,edm,0.646,0.741,5.0,-4.973,0.0,0.034,0.0275,0.0,0.312,0.571,123.077,203000.0,5.0
Con Calma,Daddy Yankee,1416448161.0,351679.0,latin hip hop,0.737,0.86,8.0,-2.652,0.0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227.0,8.0
Castle on the Hill,Ed Sheeran,1404855326.0,362253.0,pop,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154.0,2.0
Bones,Imagine Dragons,1393370819.0,1001258.0,modern rock,0.772,0.75,5.0,-3.67,0.0,0.0455,0.0201,0.0,0.074,0.587,114.061,165265.0,5.0
Glimpse of Us,Joji,1389016973.0,1020180.0,viral pop,0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456.0,8.0
Ho Hey,The Lumineers,1385971027.0,654634.0,folk-pop,0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133.0,0.0
Hotline Bling,Drake,1384769502.0,360506.0,canadian hip hop,0.891,0.628,2.0,-7.863,1.0,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067.0,2.0
Ophelia,The Lumineers,1384668043.0,623959.0,folk-pop,0.664,0.573,5.0,-6.519,1.0,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097.0,5.0
"Me, Myself & I",G-Eazy,1375657531.0,604919.0,indie pop rap,0.756,0.674,0.0,-6.518,0.0,0.0959,0.0184,0.0,0.158,0.389,111.995,251467.0,0.0
SLOW DANCING IN THE DARK,Joji,1367000935.0,502223.0,viral pop,0.515,0.479,3.0,-7.458,1.0,0.0261,0.544,0.00598,0.191,0.284,88.964,209274.0,3.0
Galway Girl,Ed Sheeran,1366275050.0,339018.0,pop,0.624,0.876,9.0,-3.374,1.0,0.1,0.0735,0.0,0.327,0.781,99.943,170827.0,9.0
Happier,Ed Sheeran,1362633206.0,267212.0,pop,0.522,0.385,0.0,-7.355,1.0,0.0288,0.536,0.0,0.135,0.236,89.792,207520.0,0.0
Bad Romance,Lady Gaga,1356855798.0,806435.0,art pop,0.696,0.921,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573.0,0.0
TiK ToK,Kesha,1351612783.0,978165.0,dance pop,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,199693.0,2.0
Blueberry Faygo,Lil Mosey,1347539591.0,450106.0,melodic rap,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,162547.0,0.0
Romantic Homicide,d4vd,1340680506.0,1381478.0,bedroom pop,0.571,0.544,6.0,-10.613,1.0,0.0299,0.453,0.00805,0.322,0.216,132.052,132631.0,6.0
Promiscuous,Nelly Furtado,1328959520.0,1015184.0,canadian latin,0.808,0.97,10.0,-6.098,0.0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293.0,10.0
Zombie,The Cranberries,1327659785.0,790779.0,irish rock,0.309,0.649,7.0,-8.994,1.0,0.035,0.0158,0.00591,0.367,0.312,166.915,306440.0,7.0
hot girl bummer,blackbear,1306601586.0,256022.0,pop,0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.992,188344.0,6.0
Falling,Harry Styles,1305712520.0,740457.0,pop,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133.0,4.0
august,Taylor Swift,1302540403.0,1037164.0,pop,0.532,0.623,5.0,-9.208,1.0,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923.0,5.0
Running Up That Hill (A Deal With God),Kate Bush,1300283848.0,504007.0,art pop,0.629,0.545,10.0,-13.123,0.0,0.0546,0.719,0.00308,0.0604,0.194,108.376,298933.0,10.0
Royals,Lorde,1286057622.0,374871.0,art pop,0.674,0.428,7.0,-9.504,1.0,0.122,0.121,0.0,0.132,0.337,84.878,190185.0,7.0
Welcome To The Jungle,Guns N' Roses,1283148992.0,619946.0,glam metal,0.453,0.987,8.0,-4.485,1.0,0.0889,0.0195,0.283,0.268,0.316,123.544,273480.0,8.0
Budapest,George Ezra,1277330791.0,771025.0,folk-pop,0.717,0.455,5.0,-8.303,1.0,0.0276,0.0846,0.0,0.11,0.389,127.812,200733.0,5.0
