Artist/Song,Streams,Daily
Charlie Puth - We Don't Talk Anymore,"2,024,410,073","948,814"
Post Malone - Better Now,"2,023,466,489","443,054"
Sam Smith - I'm Not The Only One,"2,018,080,000","1,048,793"
Queen - Another One Bites The Dust,"2,017,784,888","911,957"
Wiz Khalifa - See You Again,"2,008,495,976","715,997"
Maroon 5 - Payphone,"2,004,336,518","1,224,031"
SAINt JHN - Roses,"2,000,681,817","438,570"
The Chainsmokers - Don't Let Me Down,"1,993,755,940","791,806"
The Goo Goo Dolls - Iris,"1,992,671,347","2,297,659"
XXXTENTACION - Moonlight,"1,990,952,647","844,576"
Jason Mraz - I'm Yours,"1,988,304,153","672,959"
Lil Nas X - MONTERO (Call Me By Your Name),"1,984,965,521","513,907"
Billie Eilish - when the party's over,"1,984,602,068","1,225,924"
Manuel Turizo - La Bachata,"1,979,143,607","1,053,313"
Eminem - The Real Slim Shady,"1,975,648,152","1,239,563"
Foster The People - Pumped Up Kicks,"1,972,492,582","1,106,491"
24kGoldn - Mood,"1,969,652,953","741,119"
Linkin Park - Numb,"1,964,999,995","1,999,964"
Imagine Dragons - Radioactive,"1,964,963,268","749,897"
Adele - Rolling in the Deep,"1,964,725,889","1,032,730"
BTS - Dynamite,"1,961,449,682","608,646"
Doja Cat - Kiss Me More,"1,959,076,316","890,865"
"Tyler, The Creator - See You Again","1,956,000,661","2,928,865"
Taylor Swift - Blank Space,"1,950,002,943","813,840"
"Ariana Grande - thank u, next","1,949,759,291","576,248"
Michael Jackson - Billie Jean,"1,947,519,787","1,251,649"
Bad Bunny - Me Porto Bonito,"1,942,591,709","690,389"
Maroon 5 - Sugar,"1,940,891,276","679,788"
TOTO - Africa,"1,939,452,016","1,023,146"
The Weeknd - Call Out My Name,"1,933,825,036","927,326"
Avicii - The Nights,"1,930,949,428","846,598"
Adele - Easy On Me,"1,929,274,718","1,485,939"
Charlie Puth - Attention,"1,906,677,878","646,686"
Arctic Monkeys - 505,"1,902,066,090","1,807,669"
Gotye - Somebody That I Used To Know,"1,900,919,131","1,082,552"
Ed Sheeran - I Don't Care,"1,898,846,369","749,601"
Twenty One Pilots - Heathens,"1,897,553,961","939,487"
Danny Ocean - Me Rehúso,"1,890,166,688","661,146"
Eminem - Mockingbird,"1,888,466,491","1,504,108"
David Guetta - I’m Good (Blue),"1,887,642,979","1,353,792"
Calvin Harris - This Is What You Came For,"1,884,656,034","583,798"
Coolio - Gangsta's Paradise,"1,882,517,170","1,381,441"
WALK THE MOON - Shut Up and Dance,"1,882,115,700","1,163,226"
Radiohead - Creep,"1,877,260,561","1,647,144"
5 Seconds of Summer - Youngblood,"1,874,330,828","595,889"
Lauv - I Like Me Better,"1,870,955,501","877,828"
Arctic Monkeys - Why'd You Only Call Me When You're High?,"1,867,624,711","1,159,016"
Maroon 5 - Maps,"1,862,585,405","1,279,597"
Mariah Carey - All I Want for Christmas Is You,"1,861,295,877","2,351,741"
J Balvin - LA CANCIÓN,"1,860,353,000","951,857"
Sia - Chandelier,"1,855,512,837","812,117"
Calvin Harris - We Found Love,"1,855,016,992","1,111,754"
Twenty One Pilots - Ride,"1,853,634,484","578,633"
Fleetwood Mac - Dreams,"1,853,430,202","1,235,446"
One Direction - Night Changes,"1,849,705,278","2,728,422"
Kendrick Lamar - All The Stars,"1,847,239,604","1,327,856"
Dean Lewis - Be Alright,"1,846,789,884","742,343"
Tears For Fears - Everybody Wants To Rule The World,"1,846,638,248","1,304,580"
The Weeknd - Can't Feel My Face,"1,845,501,198","625,977"
Sia - Cheap Thrills,"1,845,317,976","647,657"
The Weeknd - I Feel It Coming,"1,844,013,038","596,635"
Shakira - Hips Don't Lie,"1,843,505,687","1,182,547"
Alec Benjamin - Let Me Down Slowly,"1,841,319,605","992,989"
Ed Sheeran - Bad Habits,"1,839,143,174","496,739"
Conan Gray - Heather,"1,829,750,753","1,176,453"
Luis Fonsi - Despacito (Featuring Daddy Yankee),"1,827,733,205","494,436"
benny blanco - Eastside,"1,827,721,073","701,435"
Travis Scott - HIGHEST IN THE ROOM,"1,823,798,991","1,322,006"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","1,815,001,882","574,474"
ZAYN - Dusk Till Dawn,"1,814,739,727","926,037"
OneRepublic - I Ain't Worried,"1,806,545,323","1,103,499"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1,803,022,828","606,895"
"Earth, Wind & Fire - September","1,802,927,059","1,056,775"
Tame Impala - The Less I Know The Better,"1,800,776,636","912,158"
The White Stripes - Seven Nation Army,"1,800,124,510","830,363"
Creedence Clearwater Revival - Have You Ever Seen The Rain,"1,799,598,589","1,065,463"
OMI - Cheerleader (Felix Jaehn Remix),"1,797,976,369","871,656"
Don Omar - Danza Kuduro,"1,796,266,238","1,193,073"
Adele - Set Fire to the Rain,"1,792,178,832","1,256,012"
Christina Perri - a thousand years,"1,782,775,813","979,441"
XXXTENTACION - Fuck Love,"1,776,642,203","1,167,100"
Harry Styles - Adore You,"1,774,012,584","840,694"
The Weeknd - Earned It (Fifty Shades Of Grey),"1,771,448,526","692,937"
Ava Max - Sweet but Psycho,"1,768,839,937","580,311"
Justin Bieber - Ghost,"1,764,998,479","1,150,339"
AC/DC - Highway to Hell,"1,763,315,873","1,269,827"
David Guetta - Titanium,"1,761,730,328","892,534"
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),"1,758,573,041","713,238"
Olivia Rodrigo - deja vu,"1,757,783,340","1,039,820"
Post Malone - Wow.,"1,754,482,386","396,827"
Ruth B. - Dandelions,"1,753,659,615","1,279,365"
Luis Fonsi - Despacito,"1,753,346,545","257,767"
Keane - Somewhere Only We Know,"1,751,732,160","1,428,513"
Bon Jovi - Livin' On A Prayer,"1,749,806,055","987,080"
Måneskin - Beggin',"1,743,896,381","881,078"
Doja Cat - Woman,"1,741,943,019","980,695"
Queen - Under Pressure,"1,739,844,898","738,573"
Juice WRLD - All Girls Are The Same,"1,739,830,566","1,171,430"
Powfu - death bed (coffee for your head),"1,738,422,196","554,959"
The Starlite Singers - Party In The U.S.A.,"1,731,667,247","929,820"
Billie Eilish - everything i wanted,"1,729,458,932","829,795"
Eagles - Hotel California,"1,726,559,332","770,742"
Miley Cyrus - Party In The U.S.A.,"1,724,510,671","815,886"
Olivia Rodrigo - traitor,"1,724,411,815","1,125,463"
Drake - Passionfruit,"1,724,239,369","670,112"
Future - Mask Off,"1,720,655,998","857,793"
DNCE - Cake By The Ocean,"1,713,303,399","620,791"
Coldplay - A Sky Full of Stars,"1,712,087,851","1,057,642"
Taylor Swift - Anti-Hero,"1,708,659,409","799,436"
Marshmello - Silence,"1,706,688,610","749,573"
Childish Gambino - Redbone,"1,702,876,723","578,016"
AC/DC - Back In Black,"1,702,334,582","973,707"
XXXTENTACION - Everybody Dies In Their Nightmares,"1,698,715,784","827,022"
Maroon 5 - Girls Like You,"1,693,224,012","300,827"
Justin Bieber - What Do You Mean?,"1,691,441,369","718,799"
Ed Sheeran - Shivers,"1,691,417,131","1,017,947"
Justin Bieber - Peaches,"1,689,382,230","470,559"
Trevor Daniel - Falling,"1,689,044,779","626,156"
Bastille - Pompeii,"1,688,408,205","699,961"
Rihanna - Umbrella,"1,687,913,989","913,685"
The Weeknd - Save Your Tears,"1,687,728,759","874,623"
Panic! At The Disco - High Hopes,"1,685,970,563","457,864"
Eminem - Love The Way You Lie,"1,684,275,285","1,026,095"
Post Malone - I Fall Apart,"1,684,074,644","308,212"
The Walters - I Love You So,"1,678,408,149","1,697,590"
Offset - Ric Flair Drip,"1,678,316,195","893,096"
"Train - Hey, Soul Sister","1,677,901,514","923,901"
Cardi B - I Like It,"1,677,519,836","283,720"
DaBaby - ROCKSTAR,"1,675,770,322","269,081"
Sam Smith - Unholy,"1,670,299,307","679,292"
AC/DC - Thunderstruck,"1,661,985,080","871,825"
Lana Del Rey - Summertime Sadness,"1,659,083,202","1,270,700"
Calvin Harris - Summer,"1,655,195,206","762,528"
Dua Lipa - IDGAF,"1,653,761,522","355,456"
50 Cent - In Da Club,"1,652,546,687","967,744"
Beyoncé - Halo,"1,651,705,065","742,575"
Kendrick Lamar - Money Trees,"1,642,298,138","985,791"
MAGIC! - Rude,"1,639,736,106","1,114,813"
Harry Styles - Sign of the Times,"1,635,509,711","849,337"
Khalid - Young Dumb & Broke,"1,626,250,746","655,735"
Pitbull - Timber,"1,625,483,547","1,097,052"
Imagine Dragons - Enemy,"1,625,069,234","1,062,062"
DJ Snake - Taki Taki,"1,624,663,098","376,107"
White Noise Baby Sleep - Clean White Noise,"1,620,153,706","308,720"
Rihanna - Love On The Brain,"1,618,145,902","1,052,455"
Maroon 5 - Moves Like Jagger,"1,617,806,199","1,020,410"
Adele - Hello,"1,617,593,260","449,111"
Major Lazer - Cold Water,"1,612,036,233","499,050"
The Neighbourhood - Daddy Issues,"1,610,701,731","1,237,697"
Bad Bunny - Tití Me Preguntó,"1,610,203,934","524,817"
Kings of Leon - Sex on Fire,"1,608,612,909","971,054"
Clean Bandit - Rockabye,"1,608,103,358","449,734"
Coldplay - Fix You,"1,599,928,488","844,868"
Backstreet Boys - I Want It That Way,"1,598,101,223","951,174"
Ariana Grande - One Last Time,"1,596,342,454","931,105"
Taylor Swift - Lover,"1,596,292,792","1,059,995"
Anne-Marie - 2002,"1,596,279,069","438,364"
Rihanna - Needed Me,"1,595,692,884","724,483"
The Script - Hall of Fame,"1,592,531,177","808,545"
Ellie Goulding - Love Me Like You Do,"1,585,498,096","384,920"
Billie Eilish - ocean eyes,"1,581,884,512","1,308,809"
Sabrina Carpenter - Espresso,"1,580,287,248","4,166,249"
Farruko - Pepas,"1,578,891,464","418,703"
Milky Chance - Stolen Dance,"1,577,352,507","723,144"
Lil Baby - Drip Too Hard (Lil Baby & Gunna),"1,574,775,429","547,914"
XXXTENTACION - Hope,"1,573,482,808","979,754"
Eminem - Godzilla,"1,569,432,364","892,455"
Tate McRae - you broke me first,"1,567,878,603","1,031,330"
Clean Bandit - Symphony,"1,566,395,138","654,291"
Black Eyed Peas - I Gotta Feeling,"1,565,511,601","832,918"
Katy Perry - Dark Horse,"1,565,333,452","829,342"
Travis Scott - BUTTERFLY EFFECT,"1,563,163,108","1,170,318"
Wham! - Last Christmas,"1,562,512,988","2,086,799"
Zedd - The Middle,"1,560,682,357","371,612"
Lil Nas X - Old Town Road,"1,559,879,068","199,839"
Post Malone - Psycho,"1,556,284,594","250,060"
Daniel Caesar - Best Part,"1,556,279,221","1,388,049"
Benson Boone - Beautiful Things,"1,556,130,091","3,474,660"
XXXTENTACION - Revenge,"1,556,021,707","1,306,134"
Gorillaz - Feel Good Inc.,"1,554,173,805","1,385,419"
Zara Larsson - Lush Life,"1,554,139,940","819,819"
Cigarettes After Sex - Apocalypse,"1,554,002,936","1,968,385"
Miguel - Sure Thing,"1,553,161,225","1,389,036"
Maroon 5 - She Will Be Loved,"1,552,626,804","811,734"
KAROL G - Tusa,"1,551,960,847","327,484"
Frank Ocean - Pink + White,"1,551,421,781","1,650,893"
J Balvin - Mi Gente,"1,541,175,503","384,949"
Red Hot Chili Peppers - Californication,"1,540,368,068","703,157"
Coldplay - Hymn for the Weekend,"1,540,261,930","972,993"
Bruno Mars - 24K Magic,"1,538,798,427","638,109"
Bad Bunny - Ojitos Lindos,"1,537,833,175","647,354"
Creedence Clearwater Revival - Fortunate Son,"1,536,106,159","941,739"
Carly Rae Jepsen - Call Me Maybe,"1,536,040,637","944,161"
Rihanna - Diamonds,"1,535,694,260","738,955"
Dr. Dre - Still D.R.E.,"1,533,353,899","778,980"
Dynoro - In My Mind,"1,532,199,230","674,789"
Metallica - Enter Sandman (Remastered),"1,531,673,405","889,188"
NF - Let You Down,"1,530,482,688","434,286"
JAY-Z - Ni**as In Paris,"1,530,256,204","602,504"
Eurythmics - Sweet Dreams (Are Made of This),"1,529,505,556","1,065,451"
Bruno Mars - Talking to the Moon,"1,526,106,665","1,040,557"
Rema - Calm Down,"1,525,812,551","757,266"
Bad Bunny - Callaita,"1,524,616,503","415,886"
Tate McRae - greedy,"1,523,952,728","1,450,288"
"Snoop Dogg - Young, Wild & Free (feta. Bruno Mars)","1,522,038,388","665,918"
Martin Garrix - In the Name of Love,"1,521,015,273","402,933"
XXXTENTACION - Look At Me!,"1,517,816,539","531,873"
Taylor Swift - Shake It Off,"1,514,253,402","640,946"
Ariana Grande - positions,"1,511,342,856","555,490"
Arizona Zervas - ROXANNE,"1,511,209,856","261,194"
Red Hot Chili Peppers - Under the Bridge,"1,507,481,193","1,035,858"
Steve Lacy - Dark Red,"1,506,182,845","1,329,662"
Ariana Grande - Side To Side,"1,502,004,368","574,780"
Lil Tecca - Ransom,"1,499,173,096","1,314,774"
System Of A Down - Chop Suey!,"1,498,638,343","928,957"
Marvin Gaye - Ain't No Mountain High Enough,"1,493,272,862","894,000"
Unknown - Ain't No Mountain High Enough,"1,492,378,862","805,781"
Alessia Cara - Scars To Your Beautiful,"1,491,529,688","529,564"
Kygo - It Ain’t Me,"1,490,640,145","600,795"
Kanye West - Heartless,"1,488,416,567","1,208,397"
R.E.M. - Losing My Religion,"1,487,251,530","896,457"
Kanye West - Stronger,"1,486,173,243","590,462"
Maroon 5 - Animals,"1,483,481,963","835,881"
Avicii - Waiting For Love,"1,481,114,939","534,316"
Marshmello - FRIENDS,"1,478,918,583","261,261"
Taylor Swift - cardigan,"1,477,962,168","1,072,316"
USHER - Yeah!,"1,477,682,039","1,176,073"
Fifth Harmony - Work from Home,"1,477,552,679","315,610"
P!nk - Just Give Me a Reason,"1,476,676,967","1,156,149"
ABBA - Dancing Queen,"1,475,622,823","991,335"
Outkast - Hey Ya!,"1,475,233,690","753,110"
Billie Eilish - BIRDS OF A FEATHER,"1,469,459,984","6,854,668"
Jonas Brothers - Sucker,"1,468,022,863","385,147"
Ariana Grande - Into You,"1,467,831,272","691,714"
Rauw Alejandro - Todo De Ti,"1,465,787,662","800,276"
Metro Boomin - Creepin',"1,464,081,140","747,429"
Rihanna - Work,"1,463,854,554","431,565"
The Beatles - Here Comes The Sun,"1,462,242,884","796,765"
Pharrell Williams - Happy,"1,459,541,975","628,210"
Kendrick Lamar - LOVE. FEAT. ZACARI.,"1,455,790,280","675,827"
Sia - Unstoppable,"1,454,809,367","1,149,390"
Bad Bunny - Yonaguni,"1,453,588,360","351,547"
Lady Gaga - Poker Face,"1,452,329,760","1,067,618"
One Direction - Story of My Life,"1,451,684,600","1,534,950"
MKTO - Classic,"1,448,932,236","682,636"
JHAYCO - No Me Conoce,"1,447,988,531","604,572"
"gnash - i hate u, i love u","1,446,527,725","251,921"
Khalid - Better,"1,446,432,974","681,405"
Regard - Ride It,"1,446,029,268","673,929"
Bruno Mars - Grenade,"1,443,136,532","1,433,783"
Lana Del Rey - Young And Beautiful,"1,441,066,845","1,082,928"
Britney Spears - Toxic,"1,440,794,155","1,068,185"
Billie Eilish - Happier Than Ever,"1,436,293,262","862,815"
Pitbull - Time of Our Lives,"1,435,076,585","984,124"
Rihanna - Stay,"1,434,642,249","914,412"
Ed Sheeran - Beautiful People,"1,433,363,103","253,622"
Bryson Tiller - Don't,"1,432,882,720","942,965"
Unknown - Time Of Our Lives,"1,431,594,775","693,212"
One Direction - What Makes You Beautiful,"1,426,417,885","1,402,115"
Khalid - Location,"1,425,902,860","442,380"
Shawn Mendes - Mercy,"1,424,443,961","527,844"
Bebe Rexha - Meant To Be,"1,423,563,961","242,481"
Nirvana - Come As You Are,"1,423,520,537","962,412"
Sam Smith - Dancing With A Stranger,"1,422,264,779","456,637"
Gym Class Heroes - Stereo Hearts,"1,422,102,843","641,781"
Chris Brown - Under The Influence,"1,420,911,312","1,150,822"
Axwell /\ Ingrosso - More Than You Know,"1,418,981,052","426,285"
Drake - In My Feelings,"1,417,878,383","184,132"
Capital Cities - Safe and Sound,"1,417,834,595","1,010,905"
Daddy Yankee - Con Calma,"1,416,448,161","351,679"
Clean Bandit - Rather Be,"1,415,391,588","550,236"
Snow Patrol - Chasing Cars,"1,414,850,063","682,135"
Coldplay - Paradise,"1,414,005,350","647,414"
Jessie J - Bang Bang,"1,412,276,167","585,771"
Tyga - Taste,"1,411,360,351","372,437"
Lady Gaga - Always Remember Us This Way,"1,410,194,930","943,997"
Bruno Mars - Leave The Door Open,"1,409,878,576","610,554"
XXXTENTACION - changes,"1,408,827,868","273,902"
Survivor - Eye of the Tiger,"1,406,960,777","826,851"
Queen - We Will Rock You,"1,406,851,457","726,358"
Ed Sheeran - Castle on the Hill,"1,404,855,326","362,253"
Selena Gomez - Wolves,"1,403,044,356","316,610"
ZAYN - PILLOWTALK,"1,399,125,331","622,621"
Lost Frequencies - Where Are You Now,"1,394,899,845","938,296"
Imagine Dragons - Bones,"1,393,370,819","1,001,258"
Portugal. The Man - Feel It Still,"1,392,300,793","1,015,408"
Bad Bunny - Efecto,"1,389,547,824","506,713"
Joji - Glimpse of Us,"1,389,016,973","1,020,180"
Lynyrd Skynyrd - Sweet Home Alabama,"1,387,783,217","481,210"
Internet Money - Lemonade,"1,387,463,458","551,085"
The Lumineers - Ho Hey,"1,385,971,027","654,634"
Maluma - Hawái,"1,385,126,040","719,752"
Drake - Hotline Bling,"1,384,769,502","360,506"
The Lumineers - Ophelia,"1,384,668,043","623,959"
Cardi B - WAP,"1,382,153,114","318,933"
The Weeknd - One Of The Girls,"1,381,593,414","2,614,168"
"G-Eazy - Me, Myself & I","1,375,657,531","604,919"
Adele - When We Were Young,"1,374,987,929","622,314"
Ariana Grande - no tears left to cry,"1,373,641,108","307,459"
Pitbull - Give Me Everything,"1,370,902,827","1,333,812"
Bad Bunny - MIA,"1,367,254,946","292,598"
Logic - 1-800-273-8255,"1,367,174,379","258,347"
Joji - SLOW DANCING IN THE DARK,"1,367,000,935","502,223"
Imagine Dragons - Whatever It Takes,"1,366,942,007","682,796"
Ed Sheeran - Galway Girl,"1,366,275,050","339,018"
Juice WRLD - Robbery,"1,365,778,038","511,938"
Ed Sheeran - Happier,"1,362,633,206","267,212"
White Noise Baby Sleep - Clean White Noise,"1,361,773,739",
Major Lazer - Light It Up (Remix),"1,360,138,461","404,282"
Beyoncé - Crazy In Love,"1,357,299,082","1,030,940"
Coldplay - My Universe,"1,357,022,605","674,570"
Lady Gaga - Bad Romance,"1,356,855,798","806,435"
A$AP Rocky - Praise The Lord (Da Shine),"1,356,765,968","885,942"
Ed Sheeran - Shivers,"1,356,315,091",
Kesha - TiK ToK,"1,351,612,783","978,165"
J. Cole - MIDDLE CHILD,"1,351,388,324","426,834"
Lil Mosey - Blueberry Faygo,"1,347,539,591","450,106"
Red Hot Chili Peppers - Can't Stop,"1,347,339,314","716,412"
d4vd - Romantic Homicide,"1,340,680,506","1,381,478"
Dream Supplier - Clean Baby Sleep White Noise (Loopable),"1,337,038,051","3,464,315"
KAROL G - PROVENZA,"1,332,856,599","809,968"
"The Rolling Stones - Paint It, Black","1,332,072,208","781,453"
J. Cole - Wet Dreamz,"1,329,200,449","579,622"
Nelly Furtado - Promiscuous,"1,328,959,520","1,015,184"
AC/DC - You Shook Me All Night Long,"1,328,940,799","651,990"
Martin Garrix - Scared to Be Lonely,"1,328,225,984","552,756"
The Cranberries - Zombie,"1,327,659,785","790,779"
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),"1,324,437,953","708,186"
Macklemore & Ryan Lewis - Thrift Shop,"1,322,107,732","569,220"
Drake - Nice For What,"1,320,693,649","260,921"
Unknown - Thrift Shop,"1,318,732,465","577,202"
Bryan Adams - Summer Of '69,"1,318,013,919","634,499"
Eslabon Armado - Ella Baila Sola,"1,315,878,853","593,227"
David Kushner - Daylight,"1,313,929,687","1,104,047"
Post Malone - Goodbyes,"1,313,463,363","293,929"
Lil Peep - Star Shopping,"1,312,461,207","878,283"
Imagine Dragons - Natural,"1,312,293,824","543,973"
Mitski - My Love Mine All Mine,"1,310,325,361","2,039,015"
Dire Straits - Sultans Of Swing,"1,306,691,612","710,627"
blackbear - hot girl bummer,"1,306,601,586","256,022"
Jimin - Like Crazy,"1,306,436,918","337,996"
Harry Styles - Falling,"1,305,712,520","740,457"
BTS - Butter,"1,305,017,923","270,820"
Taylor Swift - Style,"1,302,984,991","497,789"
Taylor Swift - august,"1,302,540,403","1,037,164"
Lil Peep - Falling Down,"1,301,427,304","1,278,341"
Kate Bush - Running Up That Hill (A Deal With God),"1,300,283,848","504,007"
Foo Fighters - Everlong,"1,299,988,302","698,071"
Calum Scott - Dancing On My Own,"1,295,160,706","442,230"
Masked Wolf - Astronaut In The Ocean,"1,293,472,976","273,330"
Cyndi Lauper - Girls Just Want to Have Fun,"1,292,794,769","754,118"
Robin Schulz - Sugar,"1,292,229,537","647,614"
Katy Perry - Last Friday Night (T.G.I.F.),"1,291,594,525","916,169"
Calvin Harris - Outside,"1,290,728,612","957,900"
DJ Khaled - I'm the One,"1,290,561,073","203,372"
The Fray - How to Save a Life,"1,286,233,547","692,010"
Lorde - Royals,"1,286,057,622","374,871"
Teddy Swims - Lose Control,"1,285,277,782","2,998,752"
Guns N' Roses - Welcome To The Jungle,"1,283,148,992","619,946"
Future - Life Is Good,"1,278,250,305","277,539"
George Ezra - Budapest,"1,277,330,791","771,025"
Selena Gomez - Lose You To Love Me,"1,276,924,415","445,812"
Evanescence - Bring Me To Life,"1,275,903,926","1,140,688"
FloyyMenor - Gata Only,"1,273,804,918","2,047,378"
